#;Locus tag;Length;Product;Completeness;Gene onthology;SEED;Protein databases;Genome annotation databases;Family and domain databases;Crossreferences;
158;U00096.2:3680183-3681470(-);1284;C4-dicarboxylate transport protein;99.77% [1284/1287];GO:0005886 - plasma membrane|GO:0006835 - dicarboxylic acid transport|GO:0015293 - symporter activity|GO:0016021 - integral component of membrane;Glutamate and Aspartate uptake in Bacteria;Uniprot (A7ZT69)|Interpro (A7ZT69);KEGG (ecw:EcE24377A_4016)|KEGG GM (ecw:EcE24377A_4016);Interpro (IPR023954)|Interpro (IPR001991)|Interpro (IPR018107)|Interpro (IPR036458)|Pfam (PF00375);NCBI (446780958)|EMBL (CP000800);
159;U00096.2:3706638-3706715(-);75;Uncharacterized protein;97.40% [75/77];;;Uniprot (J7RW71)|Interpro (J7RW71);;;NCBI (412964923)|EMBL (HE962388);
160;U00096.2:3706806-3708498(-);1689;Kdo(2)-lipid A phosphoethanolamine 7''-transferase;99.82% [1689/1692];GO:0005886 - plasma membrane|GO:0008484 - sulfuric ester hydrolase activity|GO:0009244 - lipopolysaccharide core region biosynthetic process|GO:0009245 - lipid A biosynthetic process|GO:0016021 - integral component of membrane|GO:0043838 - phosphatidylethanolamine:Kdo2-lipid A phosphoethanolamine transferase activity;Lipid A modifications;Uniprot (P37661)|Interpro (P37661);KEGG (eco:b3546)|KEGG GM (eco:b3546)|KEGG EC (2.7.8.42);Interpro (IPR017850)|Interpro (IPR012549)|Interpro (IPR040423)|Interpro (IPR000917)|Pfam (PF08019)|Pfam (PF00884);NCBI (991978869)|EMBL (AP009048);
161;U00096.2:3708821-3710030(-);1206;Uncharacterized MFS-type transporter YhjX;99.75% [1206/1209];GO:0005215 - transporter activity|GO:0005886 - plasma membrane|GO:0005887 - integral component of plasma membrane|GO:0022857 - transmembrane transporter activity|GO:0031669 - cellular response to nutrient levels|GO:0055085 - transmembrane transport;;Uniprot (P37662)|Interpro (P37662);KEGG (eco:b3547)|KEGG GM (eco:b3547);Interpro (IPR011701)|Interpro (IPR020846)|Interpro (IPR036259)|Interpro (IPR004741)|Pfam (PF07690);NCBI (991978870)|EMBL (AP009048);
162;U00096.2:3740755-3741754(+);996;23-diketo-L-gulonate reductase;99.70% [996/999];GO:0005737 - cytoplasm|GO:0047559 - 3-dehydro-L-gulonate 2-dehydrogenase activity|GO:0070403 - NAD+ binding;;Uniprot (C4ZXG6)|Interpro (C4ZXG6);KEGG (ebw:BWG_3265)|KEGG GM (ebw:BWG_3265)|KEGG EC (1.1.1.130);Interpro (IPR023689)|Interpro (IPR036111)|Interpro (IPR003767)|Pfam (PF02615);NCBI (446791781)|EMBL (CP001396);
163;U00096.2:3742350-3742824(+);471;23-diketo-L-gulonate TRAP transporter small permease protein YiaM;99.37% [471/474];GO:0005886 - plasma membrane|GO:0015144 - carbohydrate transmembrane transporter activity|GO:0015740 - C4-dicarboxylate transport|GO:0016021 - integral component of membrane|GO:0034219 - carbohydrate transmembrane transport;2,3-diketo-L-gulonate TRAP transporter;Uniprot (P37674)|Interpro (P37674);KEGG (eco:b3577)|KEGG GM (eco:b3577);Interpro (IPR007387)|Pfam (PF04290);NCBI (991978903)|EMBL (AP009048);
164;U00096.2:3782606-3783038(-);429;Uncharacterized protein YibN;99.31% [429/432];;Glutaredoxins|Glutaredoxin 3 containing cluster;Uniprot (P0AG29)|Interpro (P0AG29);KEGG (ecs:ECs4489)|KEGG GM (ecs:ECs4489);Interpro (IPR001763)|Interpro (IPR036873)|Pfam (PF00581);NCBI (1233691062)|EMBL (BA000007);
165;U00096.2:3789377-3790574(-);1194;2-amino-3-ketobutyrate coenzyme A ligase;99.75% [1194/1197];GO:0008890 - glycine C-acetyltransferase activity|GO:0009058 - biosynthetic process|GO:0019518 - L-threonine catabolic process to glycine|GO:0030170 - pyridoxal phosphate binding;Threonine degradation|Glycine and Serine Utilization|Glycine Biosynthesis;Uniprot (P0AB78)|Interpro (P0AB78);KEGG (ecs:ECs4495)|KEGG GM (ecs:ECs4495)|KEGG EC (2.3.1.29);Interpro (IPR011282)|Interpro (IPR001917)|Interpro (IPR004839)|Interpro (IPR015424)|Interpro (IPR015422)|Interpro (IPR015421)|Pfam (PF00155);NCBI (1233691067)|EMBL (BA000007);
166;U00096.2:3809460-3809697(-);234;50S ribosomal protein L28;98.73% [234/237];GO:0003735 - structural constituent of ribosome|GO:0005840 - ribosome|GO:0006412 - translation;COG0523|Ribosome LSU bacterial;Uniprot (A7ZTI8)|Interpro (A7ZTI8);KEGG (ecw:EcE24377A_4138)|KEGG GM (ecw:EcE24377A_4138);Interpro (IPR034704)|Interpro (IPR026569)|Interpro (IPR037147)|Interpro (IPR001383)|Pfam (PF00830);NCBI (752463644)|EMBL (CP000800);
167;U00096.2:3851575-3851665(+);90;Uncharacterized protein OS=Escherichia coli 1-110-08_S3_C1 OX=1444132 GN=AB97_4529 PE=4 SV=1;100.00% [90/90];;;Uniprot (A0A125WWR8)|Interpro (A0A125WWR8);;;;
168;U00096.2:3872493-3873183(-);687;Galactonate operon transcriptional repressor;99.57% [687/690];GO:0003677 - DNA binding|GO:0003700 - DNA-binding transcription factor activity|GO:0006355 - regulation of transcription DNA-templated;;Uniprot (P31460)|Interpro (P31460);KEGG (eco:b4479)|KEGG GM (eco:b4479);Interpro (IPR011711)|Interpro (IPR008920)|Interpro (IPR000524)|Interpro (IPR036388)|Interpro (IPR036390)|Pfam (PF07729)|Pfam (PF00392);NCBI (991979026)|EMBL (AP009048);
169;U00096.2:3931373-3931793(+);417;D-ribose pyranase;99.29% [417/420];GO:0005737 - cytoplasm|GO:0016872 - intramolecular lyase activity|GO:0019303 - D-ribose catabolic process|GO:0048029 - monosaccharide binding;D-ribose utilization;Uniprot (Q8XAW8)|Interpro (Q8XAW8);KEGG (ecs:ECs4690)|KEGG GM (ecs:ECs4690)|KEGG EC (5.4.99.62);Interpro (IPR023064)|Interpro (IPR023750)|Interpro (IPR007721)|Pfam (PF05025);NCBI (1233693972)|EMBL (BA000007);
170;U00096.2:3944722-3944842(+);120;Uncharacterized protein;100.00% [120/120];;;Uniprot (J7RVK5)|Interpro (J7RVK5);;;NCBI (412964653)|EMBL (HE962388);
171;U00096.2:3958699-3960721(+);2019;ATP-dependent DNA helicase Rep;99.85% [2019/2022];GO:0000725 - recombinational repair|GO:0003697 - single-stranded DNA binding|GO:0004003 - DNA helicase activity|GO:0005524 - ATP binding|GO:0005829 - cytosol|GO:0006268 - DNA unwinding involved in DNA replication|GO:0006281 - DNA repair|GO:0008408 - 3'-5' exonuclease activity|GO:0009314 - response to radiation|GO:0043140 - 3'-5' DNA helicase activity|GO:0044787 - bacterial-type DNA replication;;Uniprot (P09980)|Interpro (P09980);KEGG (eco:b3778)|KEGG GM (eco:b3778)|KEGG EC (3.6.4.12);Interpro (IPR013986)|Interpro (IPR014017)|Interpro (IPR000212)|Interpro (IPR005752)|Interpro (IPR027417)|Interpro (IPR014016)|Interpro (IPR034739)|Pfam (PF00580)|Pfam (PF13361);NCBI (991979096)|EMBL (M11055);
172;U00096.2:3978909-3980295(+);1383;Probable transport protein YifK;99.78% [1383/1386];GO:0005886 - plasma membrane|GO:0006865 - amino acid transport|GO:0016021 - integral component of membrane|GO:0022857 - transmembrane transporter activity;;Uniprot (P27837)|Interpro (P27837);KEGG (eco:b3795)|KEGG GM (eco:b3795);Interpro (IPR004841)|Interpro (IPR002293)|Interpro (IPR004840)|Pfam (PF00324);NCBI (991979114)|EMBL (AP009048);
173;U00096.2:3982374-3984030(-);1653;Putative sulfatase AslA;99.82% [1653/1656];GO:0008484 - sulfuric ester hydrolase activity|GO:0042597 - periplasmic space|GO:0046872 - metal ion binding;Steroid sulfates|Alkanesulfonate assimilation|Galactosylceramide and Sulfatide metabolism;Uniprot (P25549)|Interpro (P25549);KEGG (eco:b3801)|KEGG GM (eco:b3801)|KEGG EC (3.1.6.1);Interpro (IPR017850)|Interpro (IPR024607)|Interpro (IPR000917)|Pfam (PF00884);NCBI (991979116)|EMBL (AP009048);
174;U00096.2:4003886-4005716(+);1827;ATP-dependent DNA helicase RecQ;99.84% [1827/1830];GO:0003676 - nucleic acid binding|GO:0005524 - ATP binding|GO:0006260 - DNA replication|GO:0006281 - DNA repair|GO:0006310 - DNA recombination|GO:0009432 - SOS response|GO:0043140 - 3'-5' DNA helicase activity;;Uniprot (B3X3V0)|Interpro (B3X3V0);;Interpro (IPR011545)|Interpro (IPR004589)|Interpro (IPR006293)|Interpro (IPR014001)|Interpro (IPR001650)|Interpro (IPR010997)|Interpro (IPR002121)|Interpro (IPR027417)|Interpro (IPR032284)|Interpro (IPR018982)|Interpro (IPR036388)|Pfam (PF00270)|Pfam (PF00271)|Pfam (PF00570)|Pfam (PF16124)|Pfam (PF09382);NCBI (194417686)|EMBL (AAMJ02000024);
175;U00096.2:4022355-4022844(-);486;Transcription antitermination protein RfaH;99.39% [486/489];GO:0001073 - transcription antitermination factor activity DNA binding|GO:0003677 - DNA binding;Transcription factors bacterial;Uniprot (P0AFW1)|Interpro (P0AFW1);KEGG (ecs:ECs4770)|KEGG GM (ecs:ECs4770);Interpro (IPR006645)|Interpro (IPR036735)|Interpro (IPR010215)|Pfam (PF02357);NCBI (1233691335)|EMBL (BA000007);
176;U00096.2:4026804-4028994(-);2187;Fatty acid oxidation complex subunit alpha;99.86% [2187/2190];GO:0003857 - 3-hydroxyacyl-CoA dehydrogenase activity|GO:0004165 - dodecenoyl-CoA delta-isomerase activity|GO:0004300 - enoyl-CoA hydratase activity|GO:0006635 - fatty acid beta-oxidation|GO:0008692 - 3-hydroxybutyryl-CoA epimerase activity|GO:0036125 - fatty acid beta-oxidation multienzyme complex;;Uniprot (C5A020)|Interpro (C5A020);KEGG (ebw:BWG_3522)|KEGG GM (ebw:BWG_3522)|KEGG EC (1.1.1.35);Interpro (IPR006180)|Interpro (IPR006176)|Interpro (IPR006108)|Interpro (IPR008927)|Interpro (IPR029045)|Interpro (IPR018376)|Interpro (IPR001753)|Interpro (IPR012799)|Interpro (IPR036291)|Pfam (PF00725)|Pfam (PF02737)|Pfam (PF00378);NCBI (446888680)|EMBL (CP001396);
177;U00096.2:4043692-4044625(-);930;Probable acyltransferase YihG;99.68% [930/933];GO:0005886 - plasma membrane|GO:0005887 - integral component of plasma membrane|GO:0006644 - phospholipid metabolic process|GO:0016746 - transferase activity transferring acyl groups;;Uniprot (P32129)|Interpro (P32129);KEGG (eco:b3862)|KEGG GM (eco:b3862);Interpro (IPR002123)|Pfam (PF01553);NCBI (991979167)|EMBL (AP009048);
178;U00096.2:4047921-4048030(+);105;Uncharacterized protein;96.33% [105/109];;;Uniprot (W1G030)|Interpro (W1G030);;;EMBL (CBWP010000066);
179;U00096.2:4054647-4056057(-);1407;Glutamine synthetase;99.79% [1407/1410];GO:0004356 - glutamate-ammonia ligase activity|GO:0005524 - ATP binding|GO:0005737 - cytoplasm|GO:0006542 - glutamine biosynthetic process|GO:0046872 - metal ion binding;;Uniprot (P0A9C7)|Interpro (P0A9C7);KEGG (ecs:ECs4792)|KEGG GM (ecs:ECs4792)|KEGG EC (6.3.1.2);Interpro (IPR008147)|Interpro (IPR036651)|Interpro (IPR014746)|Interpro (IPR008146)|Interpro (IPR027303)|Interpro (IPR004809)|Interpro (IPR001637)|Interpro (IPR027302)|Pfam (PF00120)|Pfam (PF03951);NCBI (1233691359)|EMBL (BA000007);
180;U00096.2:4070697-4071594(-);894;3-sulfolactaldehyde reductase;99.67% [894/897];GO:0009407 - toxin catabolic process|GO:0016616 - oxidoreductase activity acting on the CH-OH group of donors NAD or NADP as acceptor|GO:0042802 - identical protein binding|GO:0047577 - 4-hydroxybutyrate dehydrogenase activity|GO:0050661 - NADP binding|GO:0051287 - NAD binding|GO:0061596 - 3-sulfolactaldehyde reductase activity|GO:1902777 - 6-sulfoquinovose(1-) catabolic process;O-antigen capsule important for environmental persistence;Uniprot (P0A9V8)|Interpro (P0A9V8);KEGG (eco:b3882)|KEGG GM (eco:b3882)|KEGG EC (1.1.1.61);Interpro (IPR002204)|Interpro (IPR008927)|Interpro (IPR013328)|Interpro (IPR006115)|Interpro (IPR015815)|Interpro (IPR036291)|Interpro (IPR029154)|Interpro (IPR030876)|Pfam (PF14833)|Pfam (PF03446);NCBI (991979188)|EMBL (AP009048);
181;U00096.2:4071761-4072658(+);894;Sulfofructose kinase;99.67% [894/897];GO:0005524 - ATP binding|GO:0005829 - cytosol|GO:0016301 - kinase activity|GO:0046835 - carbohydrate phosphorylation|GO:0061594 - 6-deoxy-6-sulfofructose kinase activity|GO:0061720 - 6-sulfoquinovose(1-) catabolic process to glycerone phosphate and 3-sulfolactaldehyde|GO:1902777 - 6-sulfoquinovose(1-) catabolic process;O-antigen capsule important for environmental persistence|Fructose utilization|Mannitol Utilization|Sucrose utilization|Ribitol, Xylitol, Arabitol, Mannitol and Sorbitol utilization;Uniprot (P32143)|Interpro (P32143);KEGG (eco:b3883)|KEGG GM (eco:b3883)|KEGG EC (2.7.1.184);Interpro (IPR002173)|Interpro (IPR011611)|Interpro (IPR002139)|Interpro (IPR029056)|Interpro (IPR030877)|Pfam (PF00294);NCBI (991979189)|EMBL (AP009048);
182;U00096.2:4091470-4092295(-);822;Rhamnulose-1-phosphate aldolase;99.64% [822/825];GO:0005737 - cytoplasm|GO:0008994 - rhamnulose-1-phosphate aldolase activity|GO:0019301 - rhamnose catabolic process|GO:0046872 - metal ion binding;;Uniprot (C5A070)|Interpro (C5A070);KEGG (ebw:BWG_3572)|KEGG GM (ebw:BWG_3572)|KEGG EC (4.1.2.19);Interpro (IPR001303)|Interpro (IPR036409)|Interpro (IPR013447)|Pfam (PF00596);NCBI (447102489)|EMBL (CP001396);
183;U00096.2:4094001-4095471(-);1467;Rhamnulokinase;99.80% [1467/1470];GO:0005524 - ATP binding|GO:0008993 - rhamnulokinase activity|GO:0019301 - rhamnose catabolic process;;Uniprot (C5A072)|Interpro (C5A072);KEGG (ebw:BWG_3574)|KEGG GM (ebw:BWG_3574)|KEGG EC (2.7.1.5);Interpro (IPR018485)|Interpro (IPR018484)|Interpro (IPR013449)|Pfam (PF02782)|Pfam (PF00370);NCBI (446066218)|EMBL (CP001396);
184;U00096.2:4099712-4100696(+);981;2-keto-3-deoxygluconate permease;99.70% [981/984];GO:0005886 - plasma membrane|GO:0015649 - 2-keto-3-deoxygluconate:proton symporter activity|GO:0016021 - integral component of membrane;;Uniprot (B7UNN0)|Interpro (B7UNN0);KEGG (ecg:E2348C_4214)|KEGG GM (ecg:E2348C_4214);Interpro (IPR004684)|Interpro (IPR018395)|Pfam (PF03812);NCBI (447088807)|EMBL (FM180568);
185;U00096.2:4106856-4107846(+);987;Sulfate-binding protein;99.70% [987/990];GO:0006790 - sulfur compound metabolic process|GO:0008272 - sulfate transport|GO:0015419 - ATPase-coupled sulfate transmembrane transporter activity|GO:0030288 - outer membrane-bounded periplasmic space|GO:0043199 - sulfate binding;Inorganic Sulfur Assimilation;Uniprot (P0AG78)|Interpro (P0AG78);KEGG (eco:b3917)|KEGG GM (eco:b3917);Interpro (IPR000957)|Interpro (IPR034408)|Interpro (IPR005669);NCBI (991979223)|EMBL (AP009048);
186;U00096.2:4109637-4110237(-);597;Uncharacterized protein YiiQ;99.50% [597/600];;;Uniprot (P32160)|Interpro (P32160);KEGG (eco:b3920)|KEGG GM (eco:b3920);Interpro (IPR009918)|Pfam (PF07305);NCBI (991979226)|EMBL (AP009048);
187;U00096.2:4121453-4122479(-);1023;HTH-type transcriptional repressor CytR;99.71% [1023/1026];GO:0003677 - DNA binding|GO:0006355 - regulation of transcription DNA-templated;;Uniprot (F4V8T1)|Interpro (F4V8T1);;Interpro (IPR000843)|Interpro (IPR010982)|Interpro (IPR028082)|Pfam (PF00356);NCBI (331067489)|EMBL (GL884380);
188;U00096.2:4125035-4125248(+);210;50S ribosomal protein L31;98.59% [210/213];GO:0003735 - structural constituent of ribosome|GO:0005840 - ribosome|GO:0006412 - translation|GO:0019843 - rRNA binding|GO:0046872 - metal ion binding;COG0523|Ribosome LSU bacterial;Uniprot (A7ZUF1)|Interpro (A7ZUF1);KEGG (ecw:EcE24377A_4472)|KEGG GM (ecw:EcE24377A_4472);Interpro (IPR034704)|Interpro (IPR002150)|Interpro (IPR027491)|Interpro (IPR042105)|Pfam (PF01197);NCBI (752461525)|EMBL (CP000800);
189;U00096.2:4134130-4135036(+);903;Probable cystine transporter YijE;99.67% [903/906];GO:0005886 - plasma membrane|GO:0016021 - integral component of membrane;;Uniprot (P0ABT9)|Interpro (P0ABT9);KEGG (ecc:c4901)|KEGG GM (ecc:c4901);Interpro (IPR000620)|Pfam (PF00892);NCBI (447193986)|EMBL (AE014075);
190;U00096.2:4137742-4140244(-);2499;Multiphosphoryl transfer protein 2;99.88% [2499/2502];GO:0005737 - cytoplasm|GO:0008965 - phosphoenolpyruvate-protein phosphotransferase activity|GO:0009401 - phosphoenolpyruvate-dependent sugar phosphotransferase system|GO:0016301 - kinase activity|GO:0046872 - metal ion binding;Mannitol Utilization;Uniprot (P32670)|Interpro (P32670);KEGG (eco:b3947)|KEGG GM (eco:b3947)|KEGG EC (2.7.3.9);Interpro (IPR000032)|Interpro (IPR035895)|Interpro (IPR008279)|Interpro (IPR018274)|Interpro (IPR000121)|Interpro (IPR023151)|Interpro (IPR036637)|Interpro (IPR016152)|Interpro (IPR006318)|Interpro (IPR002178)|Interpro (IPR008731)|Interpro (IPR001020)|Interpro (IPR036618)|Interpro (IPR015813)|Interpro (IPR040442)|Pfam (PF05524)|Pfam (PF00391)|Pfam (PF02896)|Pfam (PF00381)|Pfam (PF00359);NCBI (991979254)|EMBL (AP009048);
191;U00096.2:4195738-4196803(+);1062;Uroporphyrinogen decarboxylase;99.72% [1062/1065];GO:0004853 - uroporphyrinogen decarboxylase activity|GO:0005737 - cytoplasm|GO:0006782 - protoporphyrinogen IX biosynthetic process;Heme and Siroheme Biosynthesis;Uniprot (A7ZUL3)|Interpro (A7ZUL3);KEGG (ecw:EcE24377A_4540)|KEGG GM (ecw:EcE24377A_4540)|KEGG EC (4.1.1.37);Interpro (IPR038071)|Interpro (IPR006361)|Interpro (IPR000257)|Pfam (PF01208);NCBI (752462659)|EMBL (CP000800);
192;U00096.2:4228376-4229249(+);870;23S rRNA pseudouridine(2604) synthase;99.66% [870/873];GO:0000455 - enzyme-directed rRNA pseudouridine synthesis|GO:0003723 - RNA binding|GO:0005829 - cytosol|GO:0009982 - pseudouridine synthase activity|GO:0031119 - tRNA pseudouridine synthesis|GO:0120159 - rRNA pseudouridine synthase activity;rRNA modification Bacteria|RNA pseudouridine syntheses;Uniprot (P32684)|Interpro (P32684);KEGG (eco:b4022)|KEGG GM (eco:b4022)|KEGG EC (5.4.99.21);Interpro (IPR042092)|Interpro (IPR020103)|Interpro (IPR006145)|Interpro (IPR000748)|Interpro (IPR018496)|Interpro (IPR002942)|Interpro (IPR036986)|Pfam (PF00849)|Pfam (PF01479);NCBI (991979316)|EMBL (AP009048);
193;U00096.2:4244806-4245922(+);1113;Maltose/maltodextrin import ATP-binding protein MalK;99.73% [1113/1116];GO:0005524 - ATP binding|GO:0005886 - plasma membrane|GO:0015423 - ATPase-coupled maltose transmembrane transporter activity|GO:0015609 - maltooligosaccharide-importing ATPase activity;Maltose and Maltodextrin Utilization;Uniprot (P68188)|Interpro (P68188);KEGG (ecs:ECs5018)|KEGG GM (ecs:ECs5018);Interpro (IPR003593)|Interpro (IPR003439)|Interpro (IPR017871)|Interpro (IPR015855)|Interpro (IPR008995)|Interpro (IPR040582)|Interpro (IPR027417)|Pfam (PF00005)|Pfam (PF17912);NCBI (1233691535)|EMBL (BA000007);
194;U00096.2:4250528-4251026(+);495;Chorismate pyruvate-lyase;99.40% [495/498];GO:0005737 - cytoplasm|GO:0006744 - ubiquinone biosynthetic process|GO:0008813 - chorismate lyase activity|GO:0042866 - pyruvate biosynthetic process;;Uniprot (C5A132)|Interpro (C5A132);KEGG (ebw:BWG_3752)|KEGG GM (ebw:BWG_3752)|KEGG EC (4.1.3.40);Interpro (IPR007440)|Interpro (IPR028978)|Pfam (PF04345);NCBI (485692790)|EMBL (CP001396);
195;U00096.2:4252065-4254489(-);2421;Glycerol-3-phosphate acyltransferase;99.88% [2421/2424];GO:0004366 - glycerol-3-phosphate O-acyltransferase activity|GO:0005886 - plasma membrane|GO:0016024 - CDP-diacylglycerol biosynthetic process|GO:0102420 - sn-1-glycerol-3-phosphate C16:0-DCA-CoA acyl transferase activity;Glycerolipid and Glycerophospholipid Metabolism in Bacteria;Uniprot (A7ZUR3)|Interpro (A7ZUR3);KEGG (ecw:EcE24377A_4594)|KEGG GM (ecw:EcE24377A_4594)|KEGG EC (2.3.1.15);Interpro (IPR022284)|Interpro (IPR041728)|Interpro (IPR028354)|Interpro (IPR002123)|Pfam (PF01553);NCBI (445939499)|EMBL (CP000800);
196;U00096.2:4257510-4258026(-);513;Zinc uptake regulation protein;99.42% [513/516];GO:0000976 - transcription regulatory region sequence-specific DNA binding|GO:0001217 - DNA-binding transcription repressor activity|GO:0003677 - DNA binding|GO:0003700 - DNA-binding transcription factor activity|GO:0005829 - cytosol|GO:0006351 - transcription DNA-templated|GO:0008270 - zinc ion binding|GO:0032993 - protein-DNA complex|GO:0042802 - identical protein binding|GO:0044212 - transcription regulatory region DNA binding|GO:0045892 - negative regulation of transcription DNA-templated|GO:1900376 - regulation of secondary metabolite biosynthetic process;COG0523|Transport of Zinc|Oxidative stress|Zinc regulated enzymes|Putative hemin transporter;Uniprot (P0AC51)|Interpro (P0AC51);KEGG (eco:b4046)|KEGG GM (eco:b4046);Interpro (IPR002481)|Interpro (IPR036388)|Interpro (IPR036390)|Pfam (PF01475);NCBI (991979344)|EMBL (AP009048);
197;U00096.2:4266831-4267035(-);201;Uncharacterized protein YjbS;98.53% [201/204];;;Uniprot (P58036)|Interpro (P58036);KEGG (eco:b4621)|KEGG GM (eco:b4621);;NCBI (731473297)|EMBL (U00096);
198;U00096.2:4338742-4339651(-);906;Melibiose operon regulatory protein;99.67% [906/909];GO:0003700 - DNA-binding transcription factor activity|GO:0043565 - sequence-specific DNA binding;Melibiose Utilization;Uniprot (P0ACH9)|Interpro (P0ACH9);KEGG (ecc:c5123)|KEGG GM (ecc:c5123);Interpro (IPR009057)|Interpro (IPR018060)|Interpro (IPR018062)|Interpro (IPR014710)|Interpro (IPR011051)|Interpro (IPR008917)|Interpro (IPR020449)|Pfam (PF12833);NCBI (447013502)|EMBL (AE014075);
199;U00096.2:4377399-4377795(-);393;Fumarate reductase subunit C;99.24% [393/396];GO:0005886 - plasma membrane|GO:0016021 - integral component of membrane;Succinate dehydrogenase;Uniprot (A7ZV25)|Interpro (A7ZV25);KEGG (ecw:EcE24377A_4711)|KEGG GM (ecw:EcE24377A_4711);Interpro (IPR003510)|Interpro (IPR034804)|Pfam (PF02300);NCBI (752462107)|EMBL (CP000800);
200;U00096.2:4380665-4381643(+);975;Elongation factor P--(R)-beta-lysine ligase;99.69% [975/978];GO:0004824 - lysine-tRNA ligase activity|GO:0005524 - ATP binding|GO:0005737 - cytoplasm|GO:0006430 - lysyl-tRNA aminoacylation|GO:0016880 - acid-ammonia (or amide) ligase activity|GO:0071915 - protein-lysine lysylation;;Uniprot (A7ZV28)|Interpro (A7ZV28);KEGG (ecw:EcE24377A_4714)|KEGG GM (ecw:EcE24377A_4714);Interpro (IPR004364)|Interpro (IPR006195)|Interpro (IPR004525)|Interpro (IPR018149)|Pfam (PF00152);NCBI (752462109)|EMBL (CP000800);
201;U00096.2:4414463-4414793(-);327;Lipoprotein BsmA;99.09% [327/330];GO:0005886 - plasma membrane|GO:0006974 - cellular response to DNA damage stimulus|GO:0042542 - response to hydrogen peroxide|GO:0044010 - single-species biofilm formation;;Uniprot (P39297)|Interpro (P39297);KEGG (eco:b4189)|KEGG GM (eco:b4189);Interpro (IPR025543)|Interpro (IPR010854)|Interpro (IPR036275)|Pfam (PF07338);NCBI (991979480)|EMBL (AP009048);
202;U00096.2:4432644-4434588(-);1941;2'3'-cyclic-nucleotide 2'-phosphodiesterase/3'-nucleotidase;99.85% [1941/1944];GO:0000166 - nucleotide binding|GO:0006974 - cellular response to DNA damage stimulus|GO:0008254 - 3'-nucleotidase activity|GO:0008663 - 2'3'-cyclic-nucleotide 2'-phosphodiesterase activity|GO:0009166 - nucleotide catabolic process|GO:0030288 - outer membrane-bounded periplasmic space|GO:0042597 - periplasmic space|GO:0046872 - metal ion binding;Glutathione-regulated potassium-efflux system and associated functions|Purine conversions|pyrimidine conversions;Uniprot (P08331)|Interpro (P08331);KEGG (eco:b4213)|KEGG GM (eco:b4213)|KEGG EC (3.1.4.16);Interpro (IPR008334)|Interpro (IPR036907)|Interpro (IPR006146)|Interpro (IPR006179)|Interpro (IPR004843)|Interpro (IPR041827)|Interpro (IPR006294)|Interpro (IPR029052)|Pfam (PF02872)|Pfam (PF00149);NCBI (991979505)|EMBL (X54008);
203;U00096.2:4447984-4448941(+);954;ABC transporter periplasmic-binding protein YtfQ;99.69% [954/957];GO:0005534 - galactose binding|GO:0015757 - galactose transmembrane transport|GO:0030288 - outer membrane-bounded periplasmic space;Cluster Ytf and putative sugar transporter|Putative sugar ABC transporter (ytf cluster);Uniprot (P39325)|Interpro (P39325);KEGG (eco:b4227)|KEGG GM (eco:b4227);Interpro (IPR033893)|Interpro (IPR028082)|Interpro (IPR025997)|Pfam (PF13407);NCBI (991979518)|EMBL (AP009048);
204;U00096.2:4455336-4455888(-);549;UPF0307 protein YjgA;99.46% [549/552];;Putative TldE-TldD proteolytic complex;Uniprot (A7ZVB3)|Interpro (A7ZVB3);KEGG (ecw:EcE24377A_4804)|KEGG GM (ecw:EcE24377A_4804);Interpro (IPR023153)|Interpro (IPR006839)|Pfam (PF04751);NCBI (752462175)|EMBL (CP000800);
205;U00096.2:4462781-4464203(-);1419;PTS system trehalose-specific EIIBC component;99.79% [1419/1422];GO:0005886 - plasma membrane|GO:0005887 - integral component of plasma membrane|GO:0008982 - protein-N(PI)-phosphohistidine-sugar phosphotransferase activity|GO:0009401 - phosphoenolpyruvate-dependent sugar phosphotransferase system|GO:0015574 - trehalose transmembrane transporter activity|GO:0015771 - trehalose transport|GO:0016301 - kinase activity|GO:0034219 - carbohydrate transmembrane transport|GO:0090589 - protein-phosphocysteine-trehalose phosphotransferase system transporter activity;Trehalose Uptake and Utilization;Uniprot (P36672)|Interpro (P36672);KEGG (eco:b4240)|KEGG GM (eco:b4240)|KEGG EC (2.7.1.201);Interpro (IPR036878)|Interpro (IPR018113)|Interpro (IPR003352)|Interpro (IPR013013)|Interpro (IPR001996)|Interpro (IPR011296)|Interpro (IPR004719)|Pfam (PF00367)|Pfam (PF02378);NCBI (827620553)|EMBL (AP009048);
206;U00096.2:4491397-4492429(-);1029;L-idonate 5-dehydrogenase (NAD(P)(+));99.71% [1029/1032];GO:0019521 - D-gluconate metabolic process|GO:0046183 - L-idonate catabolic process|GO:0046872 - metal ion binding|GO:0050572 - L-idonate 5-dehydrogenase activity;D-gluconate and ketogluconates metabolism;Uniprot (P39346)|Interpro (P39346);KEGG (eco:b4267)|KEGG GM (eco:b4267)|KEGG EC (1.1.1.264);Interpro (IPR013149)|Interpro (IPR013154)|Interpro (IPR011032)|Interpro (IPR036291)|Pfam (PF08240)|Pfam (PF00107);NCBI (991979555)|EMBL (AP009048);
